date;topix_open;topix_max;topix_min;topix_close;topix_closed_ajusted;topix_volume;euro_open;euro_max;euro_min;euro_close;euro_closed_ajusted;euro_volume;sp500_open;sp500_max;sp500_min;sp500_close;sp500_closed_ajusted;sp500_volume;sse_open;sse_max;sse_min;sse_close;sse_closed_ajusted;sse_volume;nasdaq_open;nasdaq_max;nasdaq_min;nasdaq_close;nasdaq_closed_ajusted;nasdaq_volume
11/09/2020;1673.00;1686.00;1668.00;1686.00;1686.00;1439570.00;985.97;991.75;981.99;988.06;988.06;180298400.00;3352.70;3368.95;3310.47;3340.97;3340.97;3704450000.00;3225.78;3262.50;3220.54;3260.35;3260.35;221700.00;11010.07;11033.04;10728.03;10853.55;10853.55;3609190000.00
14/09/2020;1694.00;1702.00;1692.00;1699.00;1699.00;1579420.00;995.47;998.02;988.76;991.25;991.25;145238100.00;3363.56;3402.93;3363.56;3383.54;3383.54;3832130000.00;3275.92;3283.53;3261.15;3278.81;3278.81;213900.00;11010.14;11118.29;10982.26;11056.65;11056.65;3716820000.00
15/09/2020;1694.00;1694.00;1683.00;1688.00;1688.00;1110520.00;992.21;999.32;989.23;995.97;995.97;186240300.00;3407.73;3419.48;3389.25;3401.20;3401.20;4051460000.00;3277.13;3297.69;3263.75;3295.68;3295.68;197700.00;11193.96;11244.46;11127.98;11190.32;11190.32;3772820000.00
16/09/2020;1688.00;1697.00;1686.00;1693.00;1693.00;976350.00;996.04;1001.41;992.20;998.92;998.92;203515000.00;3411.23;3428.92;3384.45;3385.49;3385.49;4710030000.00;3293.17;3302.46;3271.07;3283.92;3283.92;200400.00;11222.08;11245.42;11046.43;11050.47;11050.47;3661710000.00
17/09/2020;1691.00;1695.00;1683.00;1687.00;1687.00;1218490.00;992.06;992.06;992.06;992.06;992.06;208782600.00;3346.86;3375.17;3328.82;3357.01;3357.01;4371940000.00;3277.32;3290.41;3248.50;3270.44;3270.44;202900.00;10796.05;10974.45;10783.81;10910.28;10910.28;3726750000.00
18/09/2020;1688.00;1697.00;1688.00;1694.00;1694.00;1611120.00;982.77;982.77;982.77;982.77;982.77;534563100.00;3357.38;3362.27;3292.40;3319.47;3319.47;7068700000.00;3270.91;3338.32;3268.53;3338.09;3338.09;256300.00;10973.45;10977.68;10639.95;10793.28;10793.28;5745690000.00
21/09/2020;;;;;;;976.75;976.75;946.40;949.49;949.49;324296800.00;3285.57;3285.57;3229.10;3281.06;3281.06;4828350000.00;3348.90;3350.59;3313.07;3316.94;3316.94;216500.00;10610.14;10782.74;10519.49;10778.80;10778.80;3885200000.00
22/09/2020;;;;;;;949.99;949.99;949.99;949.99;949.99;234950700.00;3295.75;3320.31;3270.95;3315.57;3315.57;3963300000.00;3290.67;3320.23;3265.70;3274.30;3274.30;214000.00;10873.30;10979.65;10737.52;10963.64;10963.64;3492020000.00
23/09/2020;1689.00;1696.00;1680.00;1692.00;1692.00;3070480.00;957.01;957.01;957.01;957.01;957.01;221774300.00;3320.11;3323.35;3232.57;3236.92;3236.92;4364500000.00;3278.84;3289.76;3264.89;3279.71;3279.71;169200.00;10950.82;10962.03;10612.91;10632.99;10632.99;4074600000.00
24/09/2020;1682.00;1685.00;1672.00;1676.00;1676.00;3018490.00;948.11;948.11;948.11;948.11;948.11;247820700.00;3226.14;3278.70;3209.45;3246.59;3246.59;4599470000.00;3262.88;3265.34;3221.24;3223.18;3223.18;206700.00;10551.02;10799.55;10520.22;10672.27;10672.27;4080730000.00
