bitcoin_close;bitcoin_open;bitcoin_max;bitcoin_min;bitcoin_volume;date
5,361.4;5,260.7;5,373.1;5,020.9;1.80M;18/03/2020
6,172.0;5,359.2;6,379.5;5,256.0;2.18M;19/03/2020
6,205.3;6,171.6;6,858.1;5,748.2;2.22M;20/03/2020
6,186.2;6,205.6;6,438.3;5,887.0;1.64M;21/03/2020
5,822.1;6,186.9;6,394.4;5,771.2;1.48M;22/03/2020
6,468.9;5,822.0;6,564.7;5,710.8;1.88M;23/03/2020
6,744.6;6,468.8;6,814.2;6,380.8;1.73M;24/03/2020
6,678.9;6,744.8;6,930.2;6,474.6;1.52M;25/03/2020
6,725.1;6,677.9;6,772.9;6,541.7;1.18M;26/03/2020
6,373.4;6,725.5;6,813.7;6,322.3;1.16M;27/03/2020
6,233.7;6,373.4;6,374.3;6,046.5;1.26M;28/03/2020
5,890.4;6,233.2;6,258.8;5,889.3;916.17K;29/03/2020
6,391.0;5,890.4;6,576.5;5,872.5;1.43M;30/03/2020
6,412.5;6,391.1;6,513.1;6,346.3;1.05M;31/03/2020
6,638.5;6,412.4;6,661.3;6,157.4;1.40M;01/04/2020
6,800.5;6,638.8;7,182.7;6,567.9;1.74M;02/04/2020
6,735.9;6,799.9;7,026.3;6,623.6;1.35M;03/04/2020
6,857.4;6,735.9;6,958.6;6,679.1;1.05M;04/04/2020
6,772.7;6,857.5;6,889.4;6,686.0;842.33K;05/04/2020
7,332.3;6,772.8;7,335.0;6,770.1;1.53M;06/04/2020
7,185.2;7,332.3;7,440.3;7,101.7;1.32M;07/04/2020
7,361.2;7,185.6;7,396.1;7,153.1;983.94K;08/04/2020
7,289.0;7,361.1;7,361.1;7,140.3;963.55K;09/04/2020
6,863.1;7,289.0;7,294.4;6,756.1;1.37M;10/04/2020
6,867.8;6,862.7;6,931.4;6,765.1;845.58K;11/04/2020
6,917.6;6,867.9;7,158.8;6,785.1;1.10M;12/04/2020
6,841.3;6,918.1;6,920.3;6,618.5;1.25M;13/04/2020
6,850.9;6,841.8;6,970.8;6,768.6;999.53K;14/04/2020
6,629.1;6,851.3;6,929.5;6,615.9;1.00M;15/04/2020
7,085.6;6,629.1;7,159.7;6,520.5;1.54M;16/04/2020
7,035.8;7,085.5;7,142.8;7,005.8;810.10K;17/04/2020
7,230.8;7,035.9;7,259.4;7,031.5;796.45K;18/04/2020
7,122.9;7,230.9;7,238.0;7,079.1;5.93M;19/04/2020
6,833.5;7,122.9;7,207.5;6,771.2;1.26M;20/04/2020
6,842.5;6,833.4;6,919.3;6,774.3;892.57K;21/04/2020
7,112.9;6,842.5;7,137.4;6,821.8;914.18K;22/04/2020
7,488.5;7,112.8;7,655.4;7,036.5;1.34M;23/04/2020
7,503.8;7,491.3;7,583.5;7,423.5;951.95K;24/04/2020
7,540.4;7,503.9;7,684.6;7,451.0;861.93K;25/04/2020
7,678.9;7,540.4;7,679.4;7,520.5;921.59K;26/04/2020
7,766.0;7,679.4;7,768.5;7,637.7;980.50K;27/04/2020
7,746.9;7,766.0;7,770.1;7,655.3;808.09K;28/04/2020
8,770.9;7,746.7;8,918.5;7,729.7;1.83M;29/04/2020
8,629.0;8,770.6;9,437.5;8,425.5;2.04M;30/04/2020
8,821.6;8,628.6;9,040.3;8,621.0;1.11M;01/05/2020
8,966.3;8,821.6;8,986.2;8,771.3;890.34K;02/05/2020
8,885.5;8,966.2;9,169.9;8,742.2;1.15M;03/05/2020
8,874.7;8,885.5;8,945.5;8,553.2;1.12M;04/05/2020
9,001.0;8,874.2;9,078.7;8,800.4;1.05M;05/05/2020
9,151.4;9,000.6;9,373.7;8,923.6;1.62M;06/05/2020
9,979.8;9,152.7;10,033.0;9,064.8;1.91M;07/05/2020
9,806.2;9,980.1;10,018.2;9,731.4;1.42M;08/05/2020
9,554.6;9,806.0;9,910.5;9,533.6;1.49M;09/05/2020
8,738.8;9,553.9;9,569.4;8,259.3;2.47M;10/05/2020
8,579.8;8,737.6;9,129.6;8,235.6;2.29M;11/05/2020
8,813.8;8,569.8;8,964.5;8,542.8;1.35M;12/05/2020
9,298.7;8,813.9;9,384.6;8,799.1;1.50M;13/05/2020
9,778.4;9,298.7;9,887.5;9,265.8;1.77M;14/05/2020
9,318.0;9,778.6;9,819.6;9,223.2;1.56M;15/05/2020
9,379.5;9,318.1;9,579.0;9,233.0;1.10M;16/05/2020
9,677.7;9,376.6;9,866.0;9,327.8;1.18M;17/05/2020
9,730.7;9,678.4;9,930.2;9,524.4;1.18M;18/05/2020
9,773.3;9,730.8;9,883.9;9,498.7;1.16M;19/05/2020
9,512.3;9,773.0;9,829.3;9,368.4;1.15M;20/05/2020
9,059.0;9,511.6;9,567.1;8,833.6;1.41M;21/05/2020
9,169.7;9,058.2;9,253.5;8,952.1;914.59K;22/05/2020
9,177.0;9,169.8;9,303.2;9,098.9;812.56K;23/05/2020
8,728.2;9,177.9;9,292.0;8,724.1;1.11M;24/05/2020
8,898.2;8,728.0;8,959.5;8,666.1;941.89K;25/05/2020
8,842.5;8,897.7;8,994.6;8,713.9;784.92K;26/05/2020
9,199.1;8,842.3;9,210.9;8,818.6;810.89K;27/05/2020
9,572.2;9,199.8;9,610.8;9,119.2;948.86K;28/05/2020
9,424.8;9,573.4;9,596.5;9,358.1;814.33K;29/05/2020
9,692.5;9,424.8;9,729.9;9,352.7;720.62K;30/05/2020
9,454.8;9,692.9;9,695.6;9,406.2;645.27K;31/05/2020
10,189.3;9,454.5;10,301.8;9,429.7;796.68K;01/06/2020
9,527.6;10,190.7;10,207.3;9,347.3;1.06M;02/06/2020
9,667.2;9,527.0;9,667.2;9,421.7;558.12K;03/06/2020
9,794.4;9,667.2;9,864.4;9,490.9;593.66K;04/06/2020
9,631.2;9,794.0;9,846.1;9,628.7;527.05K;05/06/2020
9,669.6;9,630.8;9,733.1;9,549.5;370.85K;06/06/2020
9,742.6;9,669.6;9,791.8;9,417.4;549.20K;07/06/2020
9,777.9;9,743.4;9,788.2;9,662.3;431.04K;08/06/2020
9,768.8;9,777.7;9,857.2;9,616.6;479.55K;09/06/2020
9,878.8;9,768.8;9,970.9;9,710.7;533.55K;10/06/2020
9,283.2;9,878.9;9,945.2;9,139.1;919.30K;11/06/2020
9,466.6;9,283.7;9,547.5;9,249.4;529.28K;12/06/2020
9,471.3;9,466.5;9,484.9;9,369.9;364.97K;13/06/2020
9,345.3;9,470.7;9,474.7;9,264.4;311.27K;14/06/2020
9,425.4;9,345.5;9,489.7;8,925.6;750.90K;15/06/2020
9,523.5;9,425.6;9,577.1;9,379.3;545.47K;16/06/2020
9,464.6;9,523.6;9,543.6;9,258.2;446.45K;17/06/2020
9,388.1;9,464.6;9,480.4;9,289.3;391.67K;18/06/2020
9,314.0;9,390.3;9,424.0;9,249.6;478.49K;19/06/2020
9,358.8;9,314.0;9,394.5;9,199.8;383.44K;20/06/2020
9,296.4;9,358.8;9,411.2;9,288.5;335.99K;21/06/2020
9,683.7;9,296.5;9,751.9;9,285.8;523.32K;22/06/2020
9,624.6;9,683.9;9,715.6;9,581.8;375.49K;23/06/2020
9,302.0;9,624.6;9,667.4;9,223.0;515.78K;24/06/2020
9,247.5;9,300.8;9,327.3;9,022.6;524.45K;25/06/2020
9,160.0;9,247.5;9,296.5;9,060.1;489.84K;26/06/2020
9,008.3;9,160.5;9,190.5;8,865.3;441.93K;27/06/2020
9,124.0;9,008.4;9,185.5;8,950.2;329.01K;28/06/2020
9,185.4;9,122.8;9,229.1;9,033.6;401.12K;29/06/2020
9,135.4;9,186.0;9,199.8;9,075.3;381.73K;30/06/2020
9,229.9;9,135.9;9,289.0;9,101.1;366.78K;01/07/2020
9,085.1;9,229.9;9,259.7;8,962.1;483.10K;02/07/2020
9,067.1;9,085.0;9,120.4;9,050.9;333.88K;03/07/2020
9,134.4;9,067.1;9,182.3;9,049.6;261.25K;04/07/2020
9,081.0;9,134.3;9,149.6;8,932.1;314.10K;05/07/2020
9,339.0;9,080.4;9,363.0;9,063.2;510.27K;06/07/2020
9,256.0;9,338.8;9,371.2;9,209.3;420.55K;07/07/2020
9,429.9;9,256.3;9,458.3;9,233.1;509.94K;08/07/2020
9,235.7;9,430.1;9,434.5;9,176.0;444.27K;09/07/2020
9,285.1;9,239.0;9,309.8;9,131.9;418.47K;10/07/2020
9,233.3;9,285.8;9,295.5;9,184.2;353.92K;11/07/2020
9,300.8;9,234.2;9,337.8;9,170.4;366.88K;12/07/2020
9,243.6;9,300.5;9,329.6;9,207.6;456.87K;13/07/2020
